epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.24576633533299433,0.18115369599066308,0.8993428571428571,0.9292
2,0.13570718915636737,0.19423859115731693,0.9499142857142857,0.9286666666666666
3,0.07196638426981067,0.277292424206759,0.9747142857142858,0.9249333333333334
4,0.04707594414292052,0.2717546863363001,0.9852285714285715,0.9272
5,0.035342142518215346,0.24840409997781154,0.9880857142857142,0.9285333333333333
6,0.027656405554255845,0.26279750377186006,0.9907142857142858,0.9266666666666666
7,0.0232284854256953,0.4994918143772061,0.9922,0.8970666666666667
8,0.020644654844292856,0.35752110931393594,0.9931428571428571,0.9194666666666667
9,0.019530617699483114,0.4222997879460037,0.9937142857142857,0.9130666666666667
10,0.017924291924232064,0.35627279620764574,0.9938285714285714,0.916
