epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.23652932210782818,0.1642824164462655,0.9047428571428572,0.9388
2,0.14008057218479586,0.17493533171506834,0.9483714285714285,0.9362666666666667
3,0.0857281393745403,0.19831512150774672,0.97,0.9381333333333334
4,0.052074965419857434,0.19032969307313277,0.982,0.9368
5,0.035965722951706525,0.22889702902925732,0.9883714285714286,0.9364
6,0.028856387778901572,0.2686830576229245,0.9901142857142857,0.9368
7,0.023818477488987043,0.23886661447422913,0.9917714285714285,0.9388
8,0.01953742223530083,0.36907313565103295,0.9932571428571428,0.9254666666666667
9,0.01775018425622529,0.3120415841841953,0.9940571428571429,0.9366666666666666
10,0.017263878008590014,0.26961240826580085,0.9938285714285714,0.9369333333333333
