epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.23052733729319336,0.17603345361869854,0.9064,0.9321333333333334
2,0.1352347712712154,0.15632671972653314,0.9504285714285714,0.9424
3,0.08231848891211228,0.2685363840656544,0.971,0.9189333333333334
4,0.05077605199456685,0.20259206617838824,0.9826571428571429,0.9350666666666667
5,0.03603833935591734,0.24983903845059258,0.9873428571428572,0.9381333333333334
6,0.02448438500049254,0.3427543973236419,0.9913428571428572,0.924
7,0.024137784101998863,0.24483714677768995,0.9914,0.9361333333333334
8,0.018792797457707597,0.29176589849252244,0.9934571428571428,0.9354666666666667
9,0.015229101441193639,0.36355568983957504,0.9946571428571429,0.9244
10,0.01562274520136181,0.3318570202541855,0.9946571428571429,0.9341333333333334
11,0.012157470792937565,0.369349505508995,0.9956285714285714,0.9346666666666666
12,0.01274842643160718,0.330694131054898,0.9954,0.9345333333333333
13,0.010428506551167739,0.4309144243196815,0.9963428571428572,0.9329333333333333
14,0.010441128461399466,0.3839401546649783,0.9964285714285714,0.9346666666666666
15,0.010310240078562113,0.4030009987779368,0.9964,0.9350666666666667
16,0.009566954189460864,0.40392101204635306,0.9967428571428572,0.9324
17,0.008871276054424511,0.40453332166260947,0.9971714285714286,0.9334666666666667
18,0.008293502515039155,0.351488067258341,0.9970571428571429,0.9346666666666666
19,0.007344555157917218,0.35386201209059326,0.9973714285714286,0.9334666666666667
20,0.006912182288913618,0.4092165265450044,0.9977428571428572,0.9309333333333333
