epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.24770225386877615,0.18339271963770581,0.8993714285714286,0.93
2,0.13306434039184842,0.19482569744997125,0.9512571428571429,0.9249333333333334
3,0.07425635414336058,0.21426596642553267,0.9744285714285714,0.9281333333333334
4,0.046086239762467174,0.27125088239499706,0.9851142857142857,0.9265333333333333
5,0.03460463907857653,0.29230310616822147,0.9886857142857143,0.9258666666666666
6,0.027011963869788474,0.34469800222608477,0.9912857142857143,0.9137333333333333
7,0.023840744470839746,0.3542045042581379,0.9919714285714286,0.9233333333333333
8,0.021151155371085997,0.4080792633478524,0.9926,0.9232
9,0.01933158333583663,0.38798637760432386,0.9935142857142857,0.9234666666666667
10,0.017712328367624767,0.46569723652404627,0.9939428571428571,0.9126666666666666
11,0.01650965785701485,0.44022546057384077,0.9947428571428572,0.9182666666666667
12,0.01535730901178118,0.44418493232809625,0.9953714285714286,0.9173333333333333
13,0.014089531249405235,0.4547836647293664,0.9955428571428572,0.9118666666666667
14,0.013347375617495246,0.42552363309187446,0.9959428571428571,0.9141333333333334
15,0.011885475785672317,0.3874752767704753,0.9963142857142857,0.9096
16,0.009432336876968822,0.6568467583221353,0.997,0.9029333333333334
17,0.010499285186055743,0.5297650977500917,0.9964,0.9016
18,0.009106253011632722,0.7764193848300787,0.9971714285714286,0.8922666666666667
19,0.009996511896155628,0.553654373671186,0.9970571428571429,0.904
20,0.008868854024159142,0.5944154476756031,0.9968857142857143,0.9066666666666666
